Price,Beds,Baths,Sq-ft,Basement,Garage,Rooms,Annual Tax,Style,Year Built,Walkable Score,Bikeable Score,Address,City,Zip
665000,4.0,2.5,2418.0,1,1,,11409.0,Single Family Residential,1979,44.0,40.0,"43 Sand Hills Rd,Kendall Park, NJ 08824",Kendall Park, 08824
249900,2.0,1.0,936.0,0,0,4.0,5189.0,Condo/Co-op,1977,28.0,41.0,"280 College Dr #280,Edison, NJ 08817",Edison, 08817
399000,3.0,1.0,1008.0,1,0,5.0,4926.0,Single Family Residential,1963,30.0,32.0,"616 Plainfield Ave,Piscataway, NJ 08854",Piscataway, 08854
599900,3.0,3.5,,1,1,6.0,4385.0,Single Family Residential,1954,19.0,32.0,"313 Wadsworth Ave,South Plainfield, NJ 07080",South Plainfield, 07080
289000,2.0,1.0,,1,0,5.0,4154.0,Single Family Residential,1923,41.0,35.0,"214 Seaview Ave,Old Bridge, NJ 08879",Old Bridge, 08879
464900,3.0,2.0,,1,0,9.0,5608.0,Single Family Residential,,39.0,34.0,"147 Pulaski Ave,Sayreville, NJ 08872",Sayreville, 08872
249000,2.0,1.0,888.0,1,0,,,Condo/Co-op,,26.0,33.0,"157D Pelham Ln,Monroe Twp., NJ 08831-3631",Monroe Twp., 08831-3631
415000,2.0,2.0,1600.0,1,1,,3301.0,Single Family Residential,,13.0,28.0,"420-A Andover Dr,Monroe Township, NJ 08831",Monroe Township, 08831
1189900,4.0,3.5,3400.0,1,1,,3170.0,Vacant Land,,74.0,75.0,"18 Cliff Ct,Highland Park, NJ 08904",Highland Park, 08904
519900,3.0,1.5,,1,0,11.0,15344.0,Single Family Residential,1885,76.0,51.0,"142 Dunellen Ave,Dunellen, NJ 08812",Dunellen, 08812
400000,3.0,1.0,,1,1,5.0,6756.0,Single Family Residential,1952,54.0,48.0,"44 Leber Ave,Carteret, NJ 07008",Carteret, 07008
849900,4.0,2.5,,1,1,10.0,11008.0,Single Family Residential,1984,24.0,27.0,"134 Monmouth Rd,Monroe, NJ 08831",Monroe, 08831
766900,4.0,4.0,2256.0,1,1,,11950.0,Townhouse,2016,33.0,35.0,"403 Ellsworth Way,Monmouth Junction, NJ 08852",Monmouth Junction, 08852
695000,5.0,2.5,2019.0,1,1,9.0,12293.0,Single Family Residential,1956,5.0,17.0,"25 Colburn Rd,East Brunswick, NJ 08816",East Brunswick, 08816
359000,3.0,1.0,1388.0,1,0,6.0,6205.0,Single Family Residential,,30.0,21.0,"38 Ash Ter,Sayreville, NJ 08859",Sayreville, 08859
209000,2.0,2.0,1150.0,0,1,5.0,1331.0,Condo/Co-op,,35.0,33.0,"N Rossmoor Dr,Monroe, NJ 08831",Monroe, 08831
475000,3.0,2.0,1004.0,1,0,9.0,9900.0,Single Family Residential,1953,74.0,49.0,"10 Labakan Pl,Highland Park, NJ 08904",Highland Park, 08904
419000,,,1680.0,1,0,10.0,4419.0,Single Family Residential,1920,90.0,78.0,"168 Redmond St,New Brunswick, NJ 08901",New Brunswick, 08901
290000,2.0,1.5,,1,0,6.0,7175.0,Single Family Residential,1963,64.0,48.0,"317 Merchants Ave,South Plainfield, NJ 07080",South Plainfield, 07080
219900,1.0,1.0,854.0,0,0,4.0,5170.0,Condo/Co-op,2000,40.0,62.0,"2107 Windrow Dr #2107,Plainsboro, NJ 08540",Plainsboro, 08540
375000,3.0,2.0,,1,0,9.0,7963.0,Single Family Residential,,45.0,37.0,"244 Kath St,Sayreville, NJ 08879",Sayreville, 08879
1149800,,,5575.0,1,0,20.0,20147.0,Single Family Residential,1900,53.0,39.0,"150 Buckelew Ave,Jamesburg, NJ 08831",Jamesburg, 08831
275000,2.0,2.0,1286.0,0,1,6.0,1957.0,Single Family Residential,,9.0,9.0,"B Benjamin Franklin Dr,Monroe, NJ 08831",Monroe, 08831
550000,4.0,2.5,,1,1,8.0,11728.0,Single Family Residential,1984,4.0,34.0,"83 E Karnell Dr,Piscataway, NJ 08854",Piscataway, 08854
549999,4.0,2.0,,1,1,7.0,9796.0,Single Family Residential,1967,52.0,50.0,"991 Grissom Ave,North Brunswick, NJ 08902",North Brunswick, 08902
675000,5.0,3.0,2600.0,0,1,11.0,10700.0,Single Family Residential,1964,44.0,50.0,"71 Beechwood Ave,Edison, NJ 08837",Edison, 08837
1350000,5.0,4.0,,1,1,9.0,5055.0,Vacant Land,,8.0,28.0,"179 River Rd,Monroe, NJ 08831",Monroe, 08831
469900,2.0,2.0,1878.0,0,1,6.0,6594.0,Single Family Residential,1997,15.0,31.0,"5 Ramsey Way,Monroe, NJ 08831",Monroe, 08831
400000,2.0,1.0,,1,0,,,Single Family Residential,1920,71.0,64.0,"75 GEORGES Rd,New Brunswick, NJ 08901",New Brunswick, 08901
189000,,,,1,1,,6880.0,Single Family Residential,,25.0,32.0,"204 New Rd,South Brunswick, NJ 08852",South Brunswick, 08852
499900,4.0,3.0,1948.0,0,1,9.0,9948.0,Single Family Residential,1974,77.0,54.0,"226 Prospect Ave,Dunellen, NJ 08812",Dunellen, 08812
510000,3.0,2.5,2212.0,1,1,8.0,9766.0,Single Family Residential,1978,11.0,29.0,"10 Snowdrift Dr,Piscataway, NJ 08854",Piscataway, 08854
424900,3.0,1.0,,1,1,72311.0,7741.0,Single Family Residential,1956,46.0,42.0,"12 Pine St,Edison, NJ 08817",Edison, 08817
429000,2.0,2.0,1185.0,0,0,,2022.0,Condo/Co-op,2006,32.0,35.0,"8322 Falston Cir #8322,Old Bridge, NJ 08857",Old Bridge, 08857
379000,3.0,1.0,,0,0,6.0,6550.0,Single Family Residential,1952,74.0,59.0,"36 Gurley Rd,Edison, NJ 08817",Edison, 08817
575000,3.0,2.5,1981.0,1,1,7.0,13162.0,Single Family Residential,2002,27.0,33.0,"216 Hawthorne Rd,North Brunswick, NJ 08902",North Brunswick, 08902
370000,2.0,2.5,1060.0,1,0,5.0,7753.0,Single Family Residential,1988,48.0,41.0,"1251 Marigold St,North Brunswick, NJ 08902",North Brunswick, 08902
299900,2.0,1.0,,1,0,5.0,5283.0,Single Family Residential,1913,70.0,66.0,"7 Spring St,South River, NJ 08882",South River, 08882
